ersion,Effective Date,Description of Change,Prepared by,Page
1.0,01 Nov 2007,New release,Leonal Chan,1
1.1,01 Jan 2009,"Change of Phone Authentication Guidelines 
For Individual Customer",Leonal Chan,1
1.2,01 Jun 2009,Process Review,Leonal Chan,1
1.3,29 Sep 2010,Process Review,Leonal Chan,1
1.4,01 Dec 2010,"
Release of the following policy & guidelines 
1.  CB Customer Authentication Policy V1.0 
2. 
Authentication Guidelines V3.0 
 
Update the authentication process &  
      reference list",Leonal Chan,1
1.5,19 Jan 2012,"Process Review & Release of 
Authentication Guidelines V4.0",Leonal Chan,1
1.6,30 Mar 2012,"Release of CB Customer Authentication 
Policy V2.0",Leonal Chan,1
1.7,08 Feb 2013,Titles update,Leonal Chan,1
1.8,27 Sep 2013,"Process Review & Release of 
Authentication Guidelines V5.0",Edward Yuen,1
1.9,15 Oct 2013,"Process Review & Release Minimum 
Control Standards for Contact Centers V3.0",Edward Yuen,1
2.0,01 Feb 2014,"Release  of  CB  Customer  Authentication 
Policy V3.0",Edward Yuen,1
2.1,01 Apr 2014,"Process  Review  &  Title  Update  from  CB  to 
Retail Clients",Edward Yuen,1
2.2,01 Feb 2015,Process Review,Edward Yuen,1
2.3,29 May 2017,Process Review,Man Kwan,1
2.4,15 Jun 2018,Process Review,"V
Man Kwan",1
