Version,Effective Date,Description of Change,Prepared by,Page
1.0,1 Nov 2007,New release,Leonal Chan,1
1.1,1 Jan 2009,"Change  of  Phone  Authentication  Guide  For 
Individual Customer",Leonal Chan,1
1.2,1 Jun 2009,Process Review,Leonal Chan,1
1.3,17 Oct 2010,Process Review,Leonal Chan,1
1.4,1 Dec 2010,"Release of the following policy & guidelines 
1.  CB Customer Authentication Policy V1.0 
2. 
Authentication Guidelines V3.0 
 
Update the authentication process &  
      reference list",Leonal Chan,1
1.5,7 Nov 2011,Termination of Instant Upgrade,Leonal Chan,1
1.6,19 Jan 2012,"Process Review & Release of Authentication 
Guidelines V4.0",Leonal Chan,1
1.7,27 Mar 2012,Process Review,Leonal Chan,1
1.8,30 Mar 2012,"Release of CB Customer Authentication 
Policy V2.0",Leonal Chan,1
1.9,8 Feb 2013,"Process Review & Update CEMS SR 
workflow",Leonal Chan,1
2.0,23 Jul 2013,"Process Review & Release of Authentication 
Guidelines V5.0",Edward Yuen,1
2.1,15 Oct 2013,"Process Review & Release of Minimum 
Control Standards for Contact Centers V3.0",Edward Yuen,1
2.2,1 Feb 2014,"Release of CB Customer Authentication 
Policy V3.0",Edward Yuen,1
2.3,26 Feb 2015,Process Review,Edward Yuen,1
2.4,20 Jun 2017,Process Review,"Brian Chen & 
Man Kwan",1
2.5,15 Jan 2018,Process Review,Man Kwan,1
