"Role & 
Frequency",ACTIVITIES,Page
"Frontline     
(Maker)","1.0 Receive notification that account holder is deceased 
a.  Receive notification that an account holder is deceased. 
b. 
Ensure authentication of proof-of-death from the following: 
i. 
Internal parties: Memo must bear authorised signatories. 
ii. 
External parties: The judicial authorities, estate administrator, death 
certificate or instructions from other banks must be genuine.  
iii.  Notification may also be through other reliable and verifiable sources per 
Country Addendum and subject to positive confirmation by Frontline staff. 
iv.  All the doucments to be scanned via S2O post verification by Frontliine.",3
"Frontline     
(Maker)","2.0 Verify details 
a. 
Verify the instruction details contained in the notification: 
i. 
Ensure the validity of documents presented i.e. they should be original 
and details thereon should agree with customer details in our books. 
ii. 
Ensure the specified deceased account holder is an SCB customer/ 
account holder. 
b. 
Verify notification:  
i. 
For internal parties: 
Ensure the memo is approved by 2 authorized signatories 
• 
Ensure supporting documents are attached to the memo e.g. 
• 
newspaper cuttings etc. 
ii. 
For external parties: 
If the notification is from judicial authorities, estate administrator 
• 
advocates, refer the documentation to the Bank’s approved 
external lawyers for verification. Branch will bear the cost of this 
verification.   
iii.  For other reliable sources, obtain a detailed note that states “person x 
attended the funeral” or “well known figure,” news item, etc. These 
details should be captured as notes when inserting the risk on the 
account.",4
"Frontline     
(Maker)","3.0 Reject deceased account notification 
a.  Reject the deceased account notification if the document is incomplete, quotes the 
wrong name or account details of the client, or if notifying party is not an authorised 
authority. 
b. 
If documents required to release the funds have not been provided, do not proceed 
with release of information or funds: 
i. 
Public Trustee 
ii. 
Letters of Administration 
iii. 
Grant 
c. 
Request missing documents before beginning release procedure including: 
i. 
Notification document (memo, death certificate) 
ii. 
Copy of deceased’s ID copy (if available) 
iii. 
Post-mortem report for accidental deaths (required for insurance claims). 
d.  Return documents to the notifying party and inform them the reasons for rejection. 
e.  Rejection via S2O, where the same can be viewed and report can be extracted from 
S2O to verify the reject easons",4
"Frontline     
(Maker)","4.0 Assess products held by the deceased 
a.  Complete product-holding verification checklist:
b. 
List all accounts and the relationship numbers belonging to the deceased account 
holder on the notification documents  
c. 
Check eBBS and surround systems to assess products held by the deceased. 
d. 
If customer has additional products, email certified copy of the Death Certificate to 
the respective team(s) via Form1/internal memo: 
i. 
Loans, Credit Cards: Credit Risk & Collections 
ii. 
Custody, Banca or IS: Wealth Management Ops 
e. 
Instructions to downstream teams will include the following supporting documents: 
i. 
Notification document (memo, notice) 
ii. 
Copy of death certificate 
iii. 
Copy of deceased’s ID copy (if available) 
iv. 
Post-mortem report for accidental deaths (required for insurance claims).",4
"Frontline 
Maker/Checker","5.0 Delete cards tagged to Deceased 
a. 
If debit card is present, delete debit card(s) in Sparrow. 
b. 
If credit card is present, block credit cards in C400. 
c. 
Any outstanding balance available to be infom collections to ensure for write off",5
"Frontline     
(Maker)","6.0 Submit instructions to GBS for eBBS updates 
a. 
Prepare a memo to GBS to update/amend the following details on the account: 
i. 
Request deletion of all standing orders 
ii. 
Request placement of risk code 004 on all accounts for no debits. 
iii. 
Instruct GBS to insert ledger fee waiver code permanently (no review 
date). Note: with risk code 004, system-generated charges will still 
accrue (i.e. ledger fees and commissions on unpaid standing orders) but 
these should be waived from the time the notification is received by the 
Bank. Ensure to include waiver instruction to GBS for these Refer to 
Appendix 1 on how to retrieve the ledger fee waiver code. (Note: this 
does not apply to joint accounts). 
iv.  Request placement of DEC risk (Deceased account holder) on the 
account. 
v. 
Also Place risk DDR in EBBS 
vi.  For joint accounts with a deceased holder, letters of administration are 
not required.  Death certificate is sufficient.  Account will be managed by 
the surviving account holder. Instruct GBS to disable the signature of the 
deceased and to insert a note indicating the deceased person in 
eSigCap.  
b.  Obtain approval by 2 authorized signatories on each memo. 
c. 
If customer has an existing loan, forward certified copy of the Death Certificate to 
Collections via Form1/internal memo.
d. 
Scan static data instruction c(i) & c(ii) to GBS Account Maintenance via Static Data 
Amendment workflow to update account status.",5
"Frontline 
Checker","7.0 Review and approve scanned instructions 
a. 
Verify completeness of instruction forms by comparing supporting documents 
provided with the details on the screen 
b. 
Ensure instructions are authorised by requisite branch staff. 
c. 
If ok, approve scanned documents to the Hub.  If not ok, reject to maker for 
correction. 
d.  Rejected transaction to be picked up by Maker who will verify further and submit",6
"Collections & 
Recoveries 
 
Management 
Information 
&Forecasting 
(MI&F)","8.0 Process loan, credit card claims 
a.  Collections team will receive notification of death from branch. 
b. 
Forward the notification to: 
i. 
GBS Lending Ops via Sharepoint; 
ii. 
Country Lending Ops via hard copy instruction with all supporting documents. 
iii. 
MI&F via email. 
c.  MI&F will initiate charge-off of client’s loans per Charg-off process. 
d.  Collections wil initiate payment/refund process with the respective insurance 
company. 
e. 
Both MI&F and Collections will send acknowledgement to branch.",6
"Country/GBS 
Lending Ops 
Maker/Checker","9.0 Process update in MARCIS 
a. 
PIL will be updated by GBS.  
b.  Mortgage and Auto loan will be updated by Country Ops. 
c. 
Receive notification of demise and copy of death certificate from Collections team. 
d.  DB1 user will update agreement status in MARCIS: 
i. 
Navigate to Customer Service module. 
ii. 
On Agreement Status Change screen, update Agreement Status field to 
“Deceased.” 
iii. 
No Other amendments required in Marcis",6
"GBS Static Data 
Team Maker","10.0 
Process updates on eBBS 
a. 
Joint Accounts:  
i. 
In a joint account, the surviving account holder(s) will continue to operate 
the account. 
ii. 
If the deceased is the primary account holder, convert the survivor to 
primary account holder. 
b.  Standing Instructions 
i. 
Delete all standing orders on the account. Note: this does not apply to 
joint accounts.
c.  Waivers  
i. 
Insert waiver code(s) on the account subsidiary per instruction. Waiver is 
permanent. Note: waiver is not applicable to joint accounts 
d.  Risk Codes 
i. 
Insert risk code 004 for no debits (customer deceased) in eBBs on all the 
accounts listed on the scanned notification documents. Note: not 
applicable to joint accounts. 
ii. 
Insert DEC code on the relationship. 
e. 
Term Deposit: 
i. 
If there is an instruction to break the deal, process the termination per 
existing process for the deal type.   
ii. 
Penalties will apply per existing Term Deposit process. 
f. 
Once all changes have been made, forward instruction to the checker on eOps. If 
unable to complete due to incomplete instruction, reject to Frontline.",6
