Version,Effective Date,Description of Change,Prepared By,Page
1.0,01 Nov 2007,New release,Leonal Chan,1
1.1,01 Jan 2009,Change of authentication guideline,Leonal Chan,1
1.2,01 Dec 2010,"Release  of 
the 
following  policy  & 
guidelines 
1.  CB 
Customer 
Authentication 
Policy V1.0 
2.  Authentication Guidelines V3.0 
 
Update 
the 
authentication 
process & reference list",Leonal Chan,1
1.3,19 Jan 2012,"Process  Review 
&  Release 
of 
Authentication Guidelines V4.0",Leonal Chan,1
1.4,30 Mar 2012,"Release 
of 
CB 
Customer 
Authentication Policy V2.0",Leonal Chan,1
1.5,08 Feb 2013,Titles Update,Leonal Chan,1
1.6,27 Sep 2013,"Process  Review 
per  Chip  Card 
Migration  Project  &  Release 
of 
Authentication Guidelines V5.0",Edward Yuen,1
1.7,15 Oct 2013,"Process Review & Release Minimum 
Control 
Standards 
for 
Contact 
Centers V3.0",Edward Yuen,1
1.8,01 Feb 2014,"Release 
of 
CB 
Customer 
Authentication Policy V3.0",Edward Yuen,1
1.9,01 Apr 2014,Process Review,Edward Yuen,1
2.0,01 Dec 2014,Process Review,Edward Yuen,1
2.1,14 Nov 2016,"Release  of  RB  Client  Authentication 
Global Process Standards V4.0",Man Kwan,1
2.2,15 Jun 2018,Process Review,Man Kwan,1
