Version,Effective Date,Description of Change,Prepared by,Page
1.0,01 Nov 2007,New release,Leonal Chan,1
1.1,01 Jan 2009,"Change of Phone Authentication Guide For 
Individual Customer",Leonal Chan,1
1.2,01 Jun 2009,Process Review,Leonal Chan,1
1.3,01 Dec 2010,"
Release of the following policy & guidelines 
1.  CB Customer Authentication Policy V1.0 
2. 
Authentication Guidelines V3.0 
 
Update the authentication process &  
      reference list",Leonal Chan,1
1.4,19 Jan 2012,"Process Review & Release of Authentication 
Guidelines V4.0",Leonal Chan,1
1.5,08 Feb 2013,Updated as per CEMS SR launched,Leonal Chan,1
1.6,23 Jul 2013,"Process Review & Release of Authentication 
Guidelines V5.0",Edward Yuen,1
1.7,15 Oct 2013,"Process Review & Release of Minimum Control  
Standards for Contact Centers V3.0",Edward Yuen,1
1.8,01 Feb 2014,"Release of CB Customer Authentication Policy 
V3.0",Edward Yuen,1
1.9,01 Feb 2015,Process Review,Edward Yuen,1
2.0,31 Aug 2017,Process Review,Man Kwan,1
2.1,08 Oct 2019,Process Review,Man Kwan,1
