Version,Effective Date,Description of Change,Prepared by,Page
1.0,28 Sep 2007,New release,Leonal Chan,1
1.1,01 Jan 2009,"Change  of  Phone  Authentication  Guidelines 
For Individual Customer",Leonal Chan,1
1.2,01 Jun 2009,Process Review.,Leonal Chan,1
1.3,01 Dec 2010,"Release of the following policy & guidelines 
1.  CB Customer Authentication Policy V1.0 
2.  Authentication Guidelines V3.0 
 
Update the authentication process & 
reference list",Leonal Chan,1
1.4,19 Jan 2012,"Process  Review  &  Release  of  Authentication 
Guidelines V4.0",Leonal Chan,1
1.5,28 May 2013,"Process  Review  &  Updated  as  per  CEMS  SR 
launched",Edward Yuen,1
1.6,23 Jul 2013,"Process Review & Release of the    latest CB 
Customer Authentication Guidelines V5.0",Edward Yuen,1
1.7,30 Oct 2013,"Release  of  Minimum  Control  Standards  for 
Contact Centers V3.0",Edward Yuen,1
1.8,01 Feb 2014,"Release 
of  CB  Customer  Authentication 
Policy V3.0",Edward Yuen,1
1.9,01 Jun 2015,Process Review & Title Update,Edward Yuen,1
2.0,25 Jul 2017,Process Review,Man Kwan,1
2.1,15 Jun 2018,Process Review,Man Kwan,1
2.2,27 Aug 2019,Process Review,Man Kwan,1
2.3,24 Sep 2019,Process Review,Man Kwan,1
