Version,Effective Date,Description of Change,Prepared By,Page
1.0,01 Nov 2007,New release,Leonal Chan,1
1.1,01 Jan 2009,"Change of Phone Authentication 
Guidelines For Individual Customer",Leonal Chan,1
1.2,01 Jun 2009,Process Review,Leonal Chan,1
1.3,15 Mar 2010,Process Review,Leonal Chan,1
1.4,01 Dec 2010,"Release of the following policy & 
guidelines 
1.  CB Customer Authentication Policy 
V1.0 
2.  Authentication Guidelines V3.0 
Update the authentication process & 
reference list",Leonal Chan,1
1.5,15 Jun 2011,Process Review,Leonal Chan,1
1.6,28 Dec 2011,"Release  of  Authentication  Guidelines 
V4.0",Leonal Chan,1
1.7,30 Mar 2012,"Release of CB Customer Authentication 
Policy V2.0",Leonal Chan,1
1.8,08 Feb 2013,Process Review,Leonal Chan,1
1.9,"23 Jul,2013","Process 
Review 
& 
release 
Authentication Guidelines V5.0",Edward Yuen,1
2.0,15 Oct 2013,"Process  Review  & 
release  Minimum 
Control  Standards  for  Contact  Centers 
V3.0",Edward Yuen,1
2.1,01 Feb 2014,"Release of CB Customer Authentication 
Policy V3.0",Edward Yuen,1
2.2,21 Mar 2014,"Process 
Review 
- 
Update 
Report 
Non-Receipt Bulk Credit Card Workflow",Edward Yuen,1
2.3,14 Nov 2014,Process Review,Edward Yuen,1
2.4,26 Feb 2015,Process Review,Edward Yuen,1
2.5,20 Jul 2015,Process Review,Edward Yuen,1
2.6,17 Mar 2016,"Process  Review 
  SMS  notification  for 
report lost credit card",Ryan Yip,1
