,Step,Step Activity,Day,Responsibility,page
2,1,Receive Client Request,,,6
3,1.1,"a.  Ensure the order request is received and complete with customer signature as per 
signing mandate.  
b.  Perform customer authentication as per minimum control standards.  
c.  Verify the Debit account details, and confirm if the correct type of instruction has 
been selected.  
d. 
If the instructions are delivered by agent or third party, or if the transaction amount 
is  above  country 
threshold,  perform  call-back  and  capture  call  details 
compliance with Group minimum standards.  
e.  For  markets  where  adhesive  Revenue  Stamp 
is  a 
requirement 
for  such 
transactions, affix the same on the Customer Instructions and pass the necessary 
accounting entries.   
f. 
Any documentation required by country-specific Exchange control regulations and 
Group Policy must be adhered to.  
g.  Ensure the below are adhered to: 
(i) 
For Standing Orders, ensure that all payment periods are regular and the 
amount is constant. Payment amounts and other details must be legible.   
(ii)  Customer  request  should  not  be  accepted  where  payment  start  date  & 
subsequent date are different.  
(iii) 
Instructions where execution dates are in the past should be rejected.  
(iv)  One-off transfers should not be accepted as standing orders. 
(v)  Change  of  Credit  or  Credit  account  number  constitutes  a  new  Standing 
Order request.   
(vi)  Change  of  debit  or  credit  account  number  must  be  requested  for  as  a 
fresh  standing  instructions  request.  Client  should  be  advised  to  issue  a 
new standing order request, and a cancellation request if the intention is 
to transfer the either the debit or the credit account. 
(vii)  Amendments standing instructions will be limited to the below scenarios:  
o  Standing Order periodic Payment date 
o  Standing Order Narration (Reason for payment) 
o  Standing Order Amount","0 
in","Frontline/ 
Branch Maker",6
2,2.1,"a.  Reject the instruction if one of the following occurs: 
i. 
Incomplete instructions. 
ii.  Debit account is Dormant or is Unclaimed  
iii.  Customer authentication fails  
iv.  Amendment requested is prohibited (e.g change of debit or credit account 
number) 
v.  Start date & subsequent payment date are different 
   b.    Return  Standing  Order  instruction  and  other  submitted  documents  to  originator 
(Customer/Channels/RM)",0,"Branch  Maker/ 
Checker",7
3,3,Verify details,,,7
4,3.1,"i.  Review  scanned  documents  against  hard  copies.  Reject  if  the  request  does  not 
comply with the minimum requirements for processing, or if indexing is not correct. 
ii.  If request is in order, submit the request to Processing Center through Filenet/eOps. 
For  ZW,  the  instructions  will  be  delivered  to  processing  centre  through  courier  until 
such a time when an electronic channel is implemented. 
iii. Forward the original documents to ADU for Archival.",0,"Branch 
Checker",7
5,4,Receive and process standing order,,,7
6,4.1,"Intructions are received at the processing center through: 
i.  Filenet/eOps 
ii.  Online Banking  
iii. Courier (for ZW, until when an electronic channel is implemented)  
a)  The processing team should be cautious to identify the transaction type and process 
it  in  the  correct  manner  since  Filenet  queue  does  not  segreggate  Standing  Order 
Instruction into there various categories, viz:  
1. 
Local Standing Order (Simple) 
2. 
Foreign Standing Order 
3. 
Sweeps Instructions",0,"GSSC 
Doc 
Verification 
team",7
2,5.1,Set-up/Amendments of Simple Standing Order,,,8
3,5.1.1,"a.
Receive instructions to setup standing order through Filenet/eOps and/or 
b. 
Log into  Online  Banking  back  office  queue  and retrieve standing order instructions 
c. 
Log into eBBS viz: 
Country > eBBS > Accounts > Instruction >Instructions Master Setup 1 tab  
d. 
Follow the set-up guide: Setup/ Modify Simple Standing Order  
e. 
If the request also includes Sweeps, refer to 6.0 below.",1,"GSSC 
Account 
Services 
(Maker)",8
4,5.1.2,"i. 
Login  as  a  Checker:  Country  >  eBBS  >  Accounts  >  Instruction  >Instructions 
Master Setup 1 tab screen 
ii. 
Click Authorize button. The Transaction Type field will be enabled. 
iii. 
Enter Transaction Type or select from LOV and press Enter key. The Standing 
Order Number field will be enabled. 
iv. 
Enter Standing Order Number or select from LOV and press Enter key. The 
Instructions Master Setup 1 tab screen information will be displayed with data 
related to the Standing Order Number.  
v. 
Check the data fields to confirm transaction details 
vi. 
Click OK to authorize, or Cancel to terminate the transaction 
c. If the instructions also includes a sweep request, refer to 6.0 below",1,"GSSC 
Account 
Services 
(Checker)",8
